name,hex,link
Absolute Zero,#0048ba,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Extreme_Twistables_colors
Acid Green,#b0bf1a,https://en.wikipedia.org/wiki/Acid_green
Aero,#7cb9e8,https://en.wikipedia.org/wiki/Air_Force_blue#Aero
African Violet,#b284be,https://en.wikipedia.org/wiki/African_violet_(color)
Air Superiority Blue,#72a0c1,https://en.wikipedia.org/wiki/Air_Force_blue#Air_superiority_blue/PRU_blue
Alice Blue,#f0f8ff,https://en.wikipedia.org/wiki/Alice_blue
Alizarin,#db2d43,https://en.wikipedia.org/wiki/Amaranth_(color)#Alizarin
Alloy Orange,#c46210,https://en.wikipedia.org/wiki/Shades_of_orange#Alloy_orange
Almond,#efdecd,https://en.wikipedia.org/wiki/Almond_(color)
Amaranth Deep Purple,#9f2b68,https://en.wikipedia.org/wiki/Amaranth_(color)#Amaranth_deep_purple
Amaranth Pink,#f19cbb,https://en.wikipedia.org/wiki/Amaranth_(color)#Amaranth_pink
Amaranth Purple,#ab274f,https://en.wikipedia.org/wiki/Amaranth_(color)#Amaranth_purple
Amazon,#3b7a57,https://en.wikipedia.org/wiki/Amazon_(color)
Amber,#ffbf00,https://en.wikipedia.org/wiki/Amber_(color)
Amethyst,#9966cc,https://en.wikipedia.org/wiki/Amethyst_(color)
Android Green,#3ddc84,https://en.wikipedia.org/wiki/Android_green
Antique Brass,#cd9575,https://en.wikipedia.org/wiki/Antique_brass
Antique Bronze,#665d1e,https://en.wikipedia.org/wiki/Antique_bronze
Antique Fuchsia,#915c83,https://en.wikipedia.org/wiki/Fuchsia_(color)#Antique_fuchsia
Antique Ruby,#841b2d,https://en.wikipedia.org/wiki/Ruby_(color)#Antique_ruby
Antique White,#faebd7,https://en.wikipedia.org/wiki/Shades_of_white#Antique_white
Apricot,#fbceb1,https://en.wikipedia.org/wiki/Apricot_(color)
Aqua,#00ffff,https://en.wikipedia.org/wiki/Aqua_(color)
Aquamarine,#7fffd4,https://en.wikipedia.org/wiki/Aquamarine_(color)
Arctic Lime,#d0ff14,https://en.wikipedia.org/wiki/Lime_(color)#Arctic_lime
Artichoke Green,#4b6f44,https://en.wikipedia.org/wiki/Shades_of_green#Artichoke_green_(Pantone)
Arylide Yellow,#e9d66b,https://en.wikipedia.org/wiki/Arylide_yellow
Ash Gray,#b2beb5,https://en.wikipedia.org/wiki/Shades_of_gray#Ash_gray
Atomic Tangerine,#ff9966,https://en.wikipedia.org/wiki/Shades_of_orange#Atomic_tangerine
Aureolin,#fdee00,https://en.wikipedia.org/wiki/Aureolin
Azure,#007fff,https://en.wikipedia.org/wiki/Azure_(color)
B'dazzled Blue,#2e5894,https://en.wikipedia.org/wiki/Sapphire_(color)#B'dazzled_blue
Baby Blue,#89cff0,https://en.wikipedia.org/wiki/Baby_blue
Baby Blue Eyes,#a1caf1,https://en.wikipedia.org/wiki/Baby_blue#Baby_blue_eyes
Baby Pink,#f4c2c2,https://en.wikipedia.org/wiki/Shades_of_pink#Baby_pink
Baby Powder,#fefefa,https://en.wikipedia.org/wiki/Shades_of_white#Baby_powder
Baker-Miller Pink,#ff91af,https://en.wikipedia.org/wiki/Baker-Miller_pink
Banana Mania,#fae7b5,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Standard_colors
Barn Red,#7c0a02,https://en.wikipedia.org/wiki/Shades_of_red#Barn_red
Battleship Grey,#848482,https://en.wikipedia.org/wiki/Battleship_grey
Beau Blue,#bcd4e6,https://en.wikipedia.org/wiki/Baby_blue#Beau_blue
Beaver,#9f8170,https://en.wikipedia.org/wiki/Shades_of_brown#Beaver
Beige,#f5f5dc,https://en.wikipedia.org/wiki/Beige
Big Dip O’ruby,#9c2542,https://en.wikipedia.org/wiki/Ruby_(color)#Big_dip_o'ruby
Bisque,#ffe4c4,https://en.wikipedia.org/wiki/X11_color_names#Color_name_charts
Bistre,#3d2b1f,https://en.wikipedia.org/wiki/Bistre
Bistre Brown,#967117,https://en.wikipedia.org/wiki/Bistre#Bistre_brown
Bitter Lemon,#cae00d,https://en.wikipedia.org/wiki/Lemon_(color)#Bitter_lemon
Black,#000000,https://en.wikipedia.org/wiki/Black
Black Shadows,#bfafb2,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Heads_'n_Tails
Black Bean,#3d0c02,https://en.wikipedia.org/wiki/Shades_of_black#Black_bean
Black Coral,#54626f,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Pearl_Brite
Black Olive,#3b3c36,https://en.wikipedia.org/wiki/Olive_(color)#Black_olive
Blanched Almond,#ffebcd,https://en.wikipedia.org/wiki/X11_color_names
Blast-Off Bronze,#a57164,https://en.wikipedia.org/wiki/Bronze_(color)#Blast-off_bronze
Bleu De France,#318ce7,https://en.wikipedia.org/wiki/Bleu_de_France_(colour)
Blizzard Blue,#ace5ee,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Fluorescent_crayons
Blood Red,#660000,https://en.wikipedia.org/wiki/Blood_red
Blue,#0000ff,https://en.wikipedia.org/wiki/Blue
Blue Bell,#a2a2d0,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Standard_colors
Blue Jeans,#5dadec,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Heads_'n_Tails
Blue Sapphire,#126180,https://en.wikipedia.org/wiki/Sapphire_(color)#Blue_sapphire
Blue Yonder,#5072a7,https://en.wikipedia.org/wiki/Air_Force_blue#Blue_yonder
Blue-Gray,#6699cc,https://en.wikipedia.org/wiki/Blue-gray
Blue-Violet,#8a2be2,https://en.wikipedia.org/wiki/Indigo#Deep_indigo_(web_color_blue-violet)
Bluetiful,#3c69e7,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors
Blush,#de5d83,https://en.wikipedia.org/wiki/Red-violet#Blush
